"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Lamar Jackson","QB","BAL","25.1","17.4","26","23.6","33.4","19.9","34.4","24.2","23.6","32.9","15.9","22.6","25.4","BYE","36.1","21.5","29.4","23","25.6","434.4"
"2","Josh Allen","QB","BUF","31.2","9.8","30.9","7.3","14.6","24.4","21","20.8","23.1","20.2","25","BYE","28.4","51.9","41.3","12.2","23","0","22.6","385"
"3","Joe Burrow","QB","CIN","8.1","17.2","25.4","17.3","34.8","19.8","14.9","13.9","30.1","33.7","29","BYE","20.3","25.6","18.8","22","37","14","22.5","381.8"
"4","Baker Mayfield","QB","TB","29.7","19.8","9.5","28.9","23.4","28.9","29","24.3","18","8.9","BYE","18.7","12.2","21","29","23.3","34.6","22.6","22.5","381.8"
"5","Jayden Daniels","QB","WAS","28.2","13.4","28.1","25","20.7","21","5.2","22.2","19.9","8.6","14.4","32.4","28.6","BYE","23.6","36.4","32.8","4.2","21.5","364.8"
"6","Jared Goff","QB","DET","12.4","10.8","15.6","26.2","BYE","25.1","18.8","15.5","9.6","12.8","34.6","10.8","16.9","23","41.1","25.3","25.8","11.2","19.7","335.5"
"7","Bo Nix","QB","DEN","13","10.3","19.3","6.7","23.1","21.7","14.1","29.8","17.7","16.1","28.8","19.4","14.2","BYE","16.5","21","22.9","33.5","19.3","328.2"
"8","Saquon Barkley","RB","PHI","31.2","13.6","29.6","11.6","BYE","5.4","24.7","11.1","29.9","7.8","31.8","42.2","17.7","14.4","7.4","27","16.9","-","20.1","322.3"
"9","Jalen Hurts","QB","PHI","18.4","24.8","11.9","16.3","BYE","21.9","22.8","35.1","29.9","30.7","18.7","15.1","17.6","24.2","28.1","4.5","-","-","21.3","320.1"
"10","Sam Darnold","QB","SEA","15.6","20.9","23.2","21.5","5.3","-","17.3","18.2","21","9.4","23.6","21.1","19.6","34.6","12.2","22.9","25.8","7.6","18.8","320"
"11","Derrick Henry","RB","BAL","10.6","15.6","29.4","32.9","15.6","25.2","24.2","13.7","25.3","13.1","10.5","14","11.1","BYE","6.7","18.9","22.5","28.1","18.7","317.4"
"12","Jahmyr Gibbs","RB","DET","13.4","10.6","16.3","19.8","BYE","9.1","28","19.3","13.6","10.8","18.3","21.9","8.4","13.3","23.4","21.4","22.3","41","18.3","310.9"
"13","Kyler Murray","QB","ARI","14.2","28.5","15.8","10","25.1","12","21.2","22.2","4.8","28.7","BYE","11.3","17.2","20","10.1","21.4","18","27.9","18.1","308.2"
"14","Patrick Mahomes II","QB","KC","15.1","14.9","17.4","14","14.4","BYE","14.1","19.2","24.5","16.5","17.8","28.8","16.6","14.1","15.8","23.7","26","-","18.3","293"
"15","Justin Herbert","QB","LAC","10.4","12","9","11.2","BYE","13.7","14.8","24.1","19.5","19.8","24.4","17.6","8","13.7","14.8","23.2","24.4","28","17","288.4"
"16","Geno Smith","QB","LV","18.8","17.9","13.4","22.6","22.6","14.5","17.8","9.1","25.1","BYE","16.7","13.4","12.4","13.3","5.5","23.4","8.3","26.3","16.5","281"
"17","Bijan Robinson","RB","ATL","11.1","12.2","11.2","7.4","7.7","22.5","20.3","16.6","14.5","26.4","6.3","BYE","19.5","18.1","13.5","22.3","21.8","29.3","16.5","280.7"
"18","Brock Purdy","QB","SF","10.3","15","25.8","15.6","15.1","24.1","20.2","26","BYE","23.8","19.4","-","2.2","22.1","5","22.1","32.3","-","18.6","278.9"
"19","Ja'Marr Chase","WR","CIN","6.2","3.5","23.8","14.5","31.3","7.2","12.6","11.4","4.3","44.4","19.5","BYE","14.6","31.1","9.4","16.4","10.2","15.6","16.2","276"
"20","Aaron Rodgers","QB","PIT","9.6","15.1","21","11.6","14.8","18.8","15","17.3","20.3","4","16.1","-","15","17.6","30.1","12.8","2.5","26","15.7","267.6"
"21","Caleb Williams","QB","CHI","7.2","9.4","19.3","11.5","23.6","29.6","BYE","9.9","9.2","6.3","16.2","26.9","26.1","14.1","9.9","22.8","7.6","10.9","15.3","260.5"
"22","Josh Jacobs","RB","GB","10.4","13.1","4.8","7.8","15.4","9","15.2","24.5","10.8","BYE","19.4","28.6","17.7","24.6","17.6","16.7","10.9","10.6","15.1","257.1"
"23","Jordan Love","QB","GB","17.4","-","-","31.2","17","26.6","18.8","6.7","11.9","BYE","21.2","14.7","19","14.5","17.6","11.5","14","2.8","16.3","244.9"
"24","Kyren Williams","RB","LAR","11.4","11.2","29.6","16.4","14.5","BYE","19.6","17.6","9.5","6.2","8.6","11.2","17.3","21.7","11.2","18.9","13.2","-","14.9","238.1"
"25","James Cook III","RB","BUF","10.3","27.5","14.7","4.8","15.9","-","9.2","25.3","6.9","14.5","14.7","BYE","18","2.9","25.3","24.6","11.3","8.8","14.7","234.7"
"26","C.J. Stroud","QB","HOU","18.7","14.3","11.8","23.5","16.9","19.4","5.3","12.4","11.5","11.8","11.9","17.7","14.4","BYE","11.6","18.1","7.1","6","13.7","232.4"
"27","Jonathan Taylor","RB","IND","10.8","13.5","25.5","16.8","-","-","-","17.7","5.9","12.2","6","3.5","16.3","BYE","9.1","39.8","25.6","24","16.2","226.7"
"28","Matthew Stafford","QB","LAR","15.7","6.6","12.8","5.9","13.4","BYE","5","25.8","18.9","10.7","27.8","19.2","15.6","20.8","8.2","7","9.2","-","13.9","222.6"
"29","De'Von Achane","RB","MIA","16","22.5","5.8","2.9","1.7","BYE","8.5","20.7","24.1","5.2","16.5","17.6","13","12.9","7.6","25","3.8","18.1","13.1","221.9"
"30","Justin Jefferson","WR","MIN","11.9","19.3","14.1","14.5","9.2","BYE","14.4","11.5","14.6","4.8","8.1","2.7","9.9","25.2","13.3","26.4","9.2","5.4","12.6","214.5"
"31","James Conner","RB","ARI","16.3","18.4","2.5","17.3","12","2.6","15.2","12.9","11.9","17.3","BYE","4.9","8.1","18.2","25.8","22.6","0.8","-","12.9","206.8"
"32","Joe Mixon","RB","HOU","23.8","5","-","-","-","25.2","24.4","19.4","16.6","15","33.3","4.5","17.9","BYE","5.6","7.1","3.9","2.8","14.6","204.5"
"33","Bryce Young","QB","CAR","11.6","3","-","-","3.1","-","-0.2","15.6","10.7","12","BYE","16.5","23.6","13.5","14","27.1","16.9","36.4","14.6","204"
"34","Amon-Ra St. Brown","WR","DET","1.3","11.9","13.5","14.8","BYE","9.7","17.2","6.7","11.6","12","27.7","6.2","7.3","5.3","23.3","13","12","7.7","11.8","201.2"
"35","Chase Brown","RB","CIN","2.3","3.1","6.9","21.2","13.4","12.4","5.3","9.4","21.7","13.4","14.3","BYE","16","18.3","23.3","10.9","9.1","-","12.6","201"
"36","Chuba Hubbard","RB","CAR","1.4","7.6","22.9","18.1","13.5","10.3","11.2","7.1","19.2","20.9","BYE","14","2.3","16.7","4.9","28.5","-","-","13.2","198.6"
"37","Bucky Irving","RB","TB","7.6","2.2","8.4","11.5","3.6","16.5","13.7","8.4","3.4","14.7","BYE","21.2","24.5","1.8","11.3","15.2","19","14.4","11.6","197.4"
"38","Alvin Kamara","RB","NO","17","42","12.7","17.9","6.6","12.4","2.4","12.2","21.5","10.9","8.9","BYE","11.9","7.9","13","-","-","-","14.1","197.3"
"39","Brian Thomas Jr.","WR","JAC","10.7","9.4","4.8","15.9","18.2","2.7","17.1","12","4.2","1.2","8.6","BYE","14.7","8.6","22.5","19.2","16.9","10.3","11.6","197"
"40","Kirk Cousins","QB","ATL","8.2","17.5","12.1","8.5","35.4","12.5","9.2","28.6","17.8","11.2","5.9","BYE","6.1","11.8","7.5","-","-","-","13.7","192.3"
"41","Brandon Aubrey","K","DAL","21","17","11","11","10","12","BYE","6","9","7","6","12","9","9","16","21","1","14","11.3","192"
"42","Chris Boswell","K","PIT","26","9","8","8","6","17","14","14","BYE","4","24","8","16","11","8","7","4","7","11.2","191"
